SAMPLE ID,00_ctr-2,03_ctr-n3,14_ctr-6,83_ctr-n1,28_als-n1,30_als-n1,29_als-n1,52_als-n6
GNAS-AS1,0.433753,0.0491177,0.117211,0.165227,0.213144,0.193315,0.156696,0.992897
GNAT1,0.0479041,0.0477412,0.082523,0.025851,0.0345285,0.0504091,0.0609217,0.0454673
GNAT2,0.173015,0.0208165,0.149025,0.256758,0.0903326,0.0728255,0.0531272,0.0205268
GNAT3,0,0,0,0,0.0385928,0,0,0
GNAZ,17.1069,17.582,28.1329,15.1369,26.9567,26.9511,26.1999,25.722
GNB1,209.669,237.168,258.971,201.584,266.979,233.751,258.168,263.924
GNB1L,1.94708,3.00007,2.60667,1.72726,2.56794,2.33797,3.40757,2.91061
GNB2,117.923,132.756,124.413,107.226,132.525,102.443,128.418,132.221
GNB2L1,772.89,1421.11,891.603,1285.05,840.743,820.823,941.402,992.517
GNB3,3.62293,6.59017,2.52114,2.73381,2.92818,6.6814,5.03445,2.97238
GNB4,14.0391,4.09961,9.6539,11.587,8.39657,5.25571,7.43469,8.93118
GNB5,9.99741,8.49567,13.6854,12.3752,14.547,10.4911,12.0806,10.8635
GNE,7.44314,5.72436,9.34141,6.25388,9.20196,9.06086,8.73264,9.71624
GNG10,14.4115,5.26275,17.0878,16.1422,17.2014,5.77014,13.7967,18.7937
GNG11,9.0357,0.565909,9.41756,5.67759,6.63481,0.3647,9.80599,6.46142
GNG12,15.0784,4.16326,17.4783,19.2801,16.1646,9.96548,14.0794,10.6509
GNG12-AS1,0.278513,0.153512,0.215028,0.330313,0.129478,0.200929,0.16267,0.0501819
GNG13,0.960024,1.58821,3.06645,0.356173,1.21132,1.5406,1.54765,1.28136
GNG2,60.3134,47.0319,75.9103,49.0796,88.1579,67.4199,78.7417,83.2492
GNG3,35.4017,95.182,64.7819,39.3417,82.3471,110.45,73.9957,86.1597
GNG4,22.2965,34.4586,41.0561,19.3128,36.1106,33.8797,38.7465,37.5179
GNG5,78.9295,46.394,60.9921,82.6971,59.4592,29.6925,61.8568,67.9967
GNG7,12.4737,4.26238,11.573,6.14233,15.9713,8.94362,9.53225,7.89714
GNG8,5.68239,3.60185,0.63668,1.49584,1.73668,2.33349,0.851158,1.31545
GNGT1,0,0,0,0.0507346,0,0,0,0
GNL1,15.8373,11.1536,16.6148,11.5659,20.2673,16.5167,15.6949,20.3718
GNL2,18.4228,23.1386,17.5727,16.7,20.448,15.9436,17.0579,24.5429
GNL3,27.7705,31.0699,26.6395,26.9018,28.5613,26.2361,26.6105,40.2057
GNL3L,6.03662,2.74375,3.65301,4.13691,4.74528,2.5667,5.18402,4.14361
GNLY,0.0396784,0.0763833,0.0455688,0,0.0416005,0.133611,0,0.0753201
GNMT,0.49754,0.744952,0.253957,0.32816,0.461813,0.860967,0.373458,0.682112
GNN,0.313772,0.176175,0.270265,0.126994,0.191127,0.110061,0.200727,0.241972
GNPAT,24.1673,11.4613,18.4823,19.521,21.4708,11.4985,20.1591,22.2062
GNPDA1,23.8531,12.6548,22.3168,14.9666,22.349,15.6121,22.7312,25.2013
GNPDA2,6.35498,4.15014,7.13746,7.08419,6.76753,4.21387,6.33144,7.18479
GNPNAT1,4.94151,2.87999,4.74547,5.98943,4.45924,3.30631,4.00608,4.85498
GNPTAB,9.06214,4.2348,11.9098,8.09509,12.1104,7.99488,9.64353,10.4563
GNPTG,17.8442,9.185,18.7806,19.317,18.8168,8.07291,17.6727,16.6947
GNRH1,0.872654,2.57045,6.33471,0.595903,5.43993,7.23621,1.61586,1.55142
GNRH2,0.295947,0.141744,0,0.238407,0,0.117502,0,0.209657
GNRHR,0.0977038,0.0779723,0.171265,0.0819493,0.233524,0.0822508,0.099499,0.20011
GNRHR2,3.63566,3.62133,4.23158,3.68932,4.85143,3.9679,4.3115,3.89604
GNS,27.9502,11.3104,27.6279,28.0377,25.6598,11.2805,26.1191,23.0893
GOLGA1,7.77021,3.67259,5.9098,5.89976,8.06536,5.2381,6.96667,6.9732
GOLGA2,18.1688,23.6806,15.1133,20.6265,19.6362,25.6269,16.5263,21.147
GOLGA2P2Y,0.283272,0.243886,0.234239,0.198049,0.265036,0.256449,0.303794,0.181158
GOLGA2P3Y,0.283272,0.243886,0.234239,0.198049,0.265036,0.256449,0.303794,0.181158
GOLGA2P5,1.85762,1.44924,0.847634,0.815687,0.959484,1.0172,1.02542,0.630988
GOLGA3,9.20558,10.6073,8.8265,12.9344,12.0904,12.2636,8.87525,15.1177
GOLGA4,12.1948,13.5727,9.78408,13.0763,12.1928,12.3704,11.5898,13.1393
GOLGA5,15.5007,16.3352,13.2869,18.9338,18.1125,15.5678,14.6994,22.3106
GOLGA6A,7.02E-05,0.103798,0.000995749,0.000100449,9.69E-13,0.100944,0.0777337,0.0846812
GOLGA6B,0.0772845,0.115848,0.0800637,6.13E-11,0.065955,2.26E-05,0.000469996,3.36E-10
GOLGA6C,0.15917,0.141344,0.12232,0.110413,0.223964,0.292836,0.0944781,0.143404
GOLGA6D,1.84E-11,0.0207126,0.000117345,4.46E-05,3.80E-12,0.086033,3.50E-11,3.36E-13
